nin_number,sir_name,given_name,nationality,gender,date_of_birth,card_no,expiry_date,village,parish,sub_county,county,district,phone_number,email
CM13U8P7E4P065,KISITU,JAMES,UGANDAN,M,1976-11-26,103789412,2027-04-05,SPECIAL  AREA/BARRACKS,RUKONO,KINYOGOGA,KINYOGOGA,NAKASEKE,2.56765E+12,james07@gmail.com
CME14P05728909,KITEKO,MERCY FAITH,UGANDAN,F,2001-01-03,128104051,2025-05-05,AKOKOWO A,ACEDE,AWEI,AWEI,ALEBTONG,2.56785E+12,mercy faith07@gfail.cof
CM199BE1038156,KITIMBO,HILLARY,UGANDAN,M,1995-11-24,729853680,2028-01-16,ADUMI S.S.,ANYARA,ADUMI,ADUMI,ARUA,2.56768E+12,hillary07@gmail.com
CM68E5609B767U,KUGONZA,STEPHEN,UGANDAN,M,1995-03-31,582978900,2027-06-28,NYAI,KATI,ADUMI,ADUMI,ARUA,2.56799E+12,stephen07@gmail.com
CM5AE09UCP5391,KYEWALYANGA,FRANCO,UGANDAN,M,1974-04-10,186086770,2026-02-04,KULUVA HOSPITAL,KULUVA,VURRA,VURRA,ARUA,2.5672E+12,franco07@gmail.com
CM5E6P70171465,KYOBE,RONALD,UGANDAN,M,1987-10-26,399574788,2027-11-04,ABIA,PANGISA,OLI RIVER,OLI RIVER,ARUA,2.56729E+12,ronald07@gmail.com
CM60186P0E797U,LUCKY,PAUL,UGANDAN,M,1990-04-05,118950222,2025-07-08,KAMAGERA,KYEBANDO,KISENGWE,KISENGWE,KAKUMIRO,2.56786E+12,paul07@gmail.com
CM767546U01691,LUTALO,ISHAK,UGANDAN,M,1994-07-18,695865000,2026-06-12,WAOBIENENE,KOCH,LABONGO-AMIDA,LABONGO-AMIDA,KITGUM,2.56701E+12,ishak07@gmail.com
CM51U1F6614366,MAKABULI,KENNETH,UGANDAN,M,1986-02-02,597938603,2026-09-19,KOMER,ODING,UNYAMA,UNYAMA,GULU,2.56772E+12,kenneth07@gmail.com
CM07P15061E185,MATALIKA,KEITH,UGANDAN,M,1995-03-17,731404048,2025-06-18,LABONGOGUR,ODING,UNYAMA,UNYAMA,GULU,2.56756E+12,keith07@gmail.com
CM97U51C1P8588,MAYANJA,DRUCILLA NAKANWAGI,UGANDAN,F,1988-02-21,445341309,2026-03-11,PABIT,ODING,UNYAMA,UNYAMA,GULU,2.56775E+12,drucilla nakanwagi07@gfail.cof
CM7E1500710177,MuKYALA,LINDA,UGANDAN,F,2000-03-12,97741195,2027-02-21,ATEDE,ODING,UNYAMA,UNYAMA,GULU,2.56722E+12,linda07@gfail.cof
CM0E5318667215,MIGISHA,VIENA MELLAN,UGANDAN,F,2003-03-04,396861592,2025-05-24,KITAMBARA,KIDOMA,KIZIRANFUMBI,KIZIRANFUMBI,KIKUUBE,2.56799E+12,viena mellan07@gfail.cof
CM96P607216U27,MARK,NSENGE,UGANDAN,M,1991-07-07,510475136,2026-08-30,KIHYO,KIHYO,KITSWAMBA,KITSWAMBA,KASESE,2.56786E+12,nsenge07@gmail.com
CM79P48U125011,MUBANDA,DENIS,UGANDAN,M,1987-01-29,768557830,2025-06-29,RUKUNGIRI POLICE,KYATOKO WARD,EASTERN DIVISION,EASTERN DIVISION,RUKUNGIRI,2.56767E+12,denis07@gmail.com
CM01051E480639,MUHANGI,MARK,UGANDAN,M,1991-01-12,552518293,2027-12-15,NAMABASA IV LOWER,NAMABASA,NAMABASA,NAMABASA,MBALE,2.56703E+12,mark07@gmail.com
CM290U11P440F7,MUHINDO,TUGUME ROLAND,UGANDAN,M,1976-08-23,944440084,2027-08-25,NAMAWONDO IA,NAMAWONDO WARD,KIBUKU TOWN COUNCIL,KIBUKU TOWN COUNCIL,KIBUKU,2.56799E+12,tugume roland07@gmail.com
CM71AE15165905,MUJUNI,DENIS JOSEPH,UGANDAN,M,1978-08-07,932749728,2027-10-05,MUZIRANDURU,MUNTEME,KIZIRANFUMBI,KIZIRANFUMBI,KIKUUBE,2.56721E+12,denis joseph07@gmail.com
CM569P8U396161,MUJUNI,EDMOND,UGANDAN,M,1996-12-10,970768474,2025-10-15,KYAKAYONGA,KALAGALA,WAKYATO,WAKYATO,NAKASEKE,2.56779E+12,edmond07@gmail.com
CM1U07576426P9,MUKARUKAKA,NATASHA,UGANDAN,F,1979-08-05,895730748,2026-10-12,MULUTI,SHIMUMA,ZESUI,ZESUI,SIRONKO,2.56759E+12,natasha07@gfail.cof
CM060979U36765,MUNDERE,KIRENGA FIACRE,UGANDAN,M,1998-03-12,943828939,2026-10-20,TUBANA,BUBETSYE,BUKHULO,BUKHULO,SIRONKO,2.56758E+12,kirenga fiacre07@gmail.com
CM09U52864911E,MUTEBI,RASHID,UGANDAN,M,1993-07-15,135446552,2025-08-07,BIHELELE,KIGULYA,BUNYAFWA,BUNYAFWA,SIRONKO,2.56722E+12,rashid07@gmail.com
CM547993U1171P,MUTUMBA,SPENCER,UGANDAN,M,1991-05-06,707566179,2028-09-12,CELL J,SENIOR QRTERS WARD,WESTERN,WESTERN,SOROTI,2.56751E+12,spencer07@gmail.com
CM161915U54190,MUWONGE,JONATHAN,UGANDAN,M,1999-04-08,66306080,2025-08-22,ARAPAI AGRIC COLLEGE,ALOET,ARAPAI,ARAPAI,SOROTI,2.56774E+12,jonathan07@gmail.com
CM06121UA05969,MWESIGWA,ERIC,UGANDAN,M,2001-11-23,404256822,2026-06-09,TESO COLLEGE EAST,ALOET,ARAPAI,ARAPAI,SOROTI,2.56788E+12,eric07@gmail.com
CM66U148E64617,MWESUGYE,MOSES,UGANDAN,M,2002-11-28,760398438,2025-05-22,TESO COLLEGE WEST,ALOET,ARAPAI,ARAPAI,SOROTI,2.56703E+12,moses07@gmail.com
CM4522U319705C,MWOGEREZA,DELICK,UGANDAN,M,1994-10-16,147557434,2026-09-23,PACEN,ANYOLA,ATYAK,ATYAK,ZOMBO,2.56728E+12,delick07@gmail.com
CM706504116EP9,NABUTIKO,SARAH,UGANDAN,F,2001-03-07,197207612,2028-02-18,OGOLAI,OGOLAI,TUBUR,TUBUR,SOROTI,2.5672E+12,sarah07@gfail.cof
CMU3P77E623861,NAKINTU,REBECCA,UGANDAN,F,2001-08-09,730180923,2026-08-07,KYANKOLOKOLO,BUFUMIRA,BUFUMIRA,BUFUMIRA,KALANGALA,2.56775E+12,rebecca07@gfail.cof
CM901P211935E0,NAMATOVU,REBECCA SHEEBA,UGANDAN,F,1974-09-30,767462274,2027-07-19,BURAMBIRA T/C,RUGENDABARA,KITSWAMBA,KITSWAMBA,KASESE,2.56761E+12,rebecca sheeba07@gfail.cof
CME41EP7084E61,NAMBAZIRA,SHAKIRA,UGANDAN,M,1971-12-16,531410539,2026-04-17,NOOK,KISENYI III,KAMPALA CENTRAL DIV,KAMPALA CENTRAL DIV,KAMPALA,2.56707E+12,shakira07@gmail.com
CM18F9PU466E66,NAMUGEMA,BRIDGET,UGANDAN,F,1975-06-28,172377068,2025-12-08,KISENGYA,KITEGA,KANYEGARAMIRE,KANYEGARAMIRE,KYENJOJO,2.56751E+12,bridget07@gfail.cof
CM4105P2107513,NANNONO,JULIET,UGANDAN,F,1975-05-27,838974454,2025-04-07,KALYAMBUZI,LYABALIME,LWAJE,LWAJE,BUVUMA,2.5677E+12,juliet07@gfail.cof
CM5361U476P916,NANSAMBA,OLIVIA,UGANDAN,F,1971-03-27,395420422,2028-03-05,KARUSHONSHOMEZI  A,KARUSHONSHOMEZI,BULONGO,BULONGO,SSEMBABULE,2.56777E+12,olivia07@gfail.cof
CM68610U2162EB,NASSANGA,SHADIAH,UGANDAN,F,1996-06-17,897497479,2027-09-23,BUGOOBE  A,KABAALE,NABITANGA,NABITANGA,SSEMBABULE,2.56791E+12,shadiah07@gfail.cof
CM268106P50EU6,NINSIMA,ONECIOUS,UGANDAN,F,1990-11-07,579305414,2027-09-05,INAGA,KABAALE,NABITANGA,NABITANGA,SSEMBABULE,2.56758E+12,onecious07@gfail.cof
CM311954069911,NSABIMANA,LEONARD,UGANDAN,M,1970-03-16,619219359,2026-10-01,GANTAAMA A,ISHARA,NABITANGA,NABITANGA,SSEMBABULE,2.56705E+12,leonard07@gmail.com
CMU0493390EC20,NUWAMANYA,GODWINE,UGANDAN,M,1980-02-08,756187048,2028-02-11,KIRAMA  A,KIRAMA,NABITANGA,NABITANGA,SSEMBABULE,2.56784E+12,godwine07@gmail.com
CM179U10543392,NYESIGA,HENRY,UGANDAN,M,1984-11-08,250006064,2026-12-02,SAGAZI  B,MEERU,NABITANGA,NABITANGA,SSEMBABULE,2.56797E+12,henry07@gmail.com
CME5256U191053,OBBA,JONATHAN,UGANDAN,M,1989-05-03,425877355,2026-08-20,NSUMBA A,NAKAGONGO,MATEETE,MATEETE,SSEMBABULE,2.56752E+12,jonathan07@gmail.com
CM94E635514U10,OBURU,JACKSON EMMANUEL,UGANDAN,M,1975-12-11,499345954,2025-06-25,MASAMBYA  A,KINYWAMAZZI,KATWE,KATWE,SSEMBABULE,2.56702E+12,jackson emmanuel07@gmail.com
CMU97261164EP6,OJOK,DAVID ODONGA,UGANDAN,M,1997-01-23,835709854,2028-08-21,BIREMBO,MBUYA,LUGUSULU,LUGUSULU,SSEMBABULE,2.56705E+12,david odonga07@gmail.com
CM649746P7857U,OJULA,HAMIS,UGANDAN,M,1990-06-08,712495675,2028-07-14,RWEKISHUGI,KAIRASYA,LUGUSULU,LUGUSULU,SSEMBABULE,2.56788E+12,hamis07@gmail.com
CM81F187U9P609,OKALANGA,JOSEPH,UGANDAN,M,1996-03-25,495171391,2027-11-08,Mitima,MITIMA,MITIMA,MITIMA,SSEMBABULE,2.56766E+12,joseph07@gmail.com
CM519686AU6P71,OLUPOT,RAYMOND ADELO,UGANDAN,M,2003-07-31,125081985,2025-10-21,BWEYALE,CENTRAL WARD,BWEYALE TOWN COUNCIL,BWEYALE TOWN COUNCIL,KIRYANDONGO,2.56781E+12,raymond adelo07@gmail.com
CM750UPE952665,OTIENO,BRIGHTON,UGANDAN,M,1988-11-11,705504356,2025-10-29,KANDEGE,LOLWE WEST,LOLWE,LOLWE,NAMAYINGO,2.56707E+12,brighton07@gmail.com
CM66P7U81E1509,OTIM,JOSEPH,UGANDAN,M,1974-11-04,954057543,2025-10-15,MUGULUKA  WEST,MAGAMAGA,BUWENGE,BUWENGE,JINJA,2.56702E+12,joseph07@gmail.com
CM11U698105579,PAUL,OMIRIA EPEJU,UGANDAN,M,1977-07-10,686963435,2028-05-21,MUGANIRO,BULWENGE,BUHEHE,BUHEHE,BUSIA,2.56783E+12,omiria epeju07@gmail.com
CM121PB9028E60,SENYONDO,BRIAN NTANDA,UGANDAN,M,1988-03-30,390486325,2025-08-24,BULONDO,NAKIBUNGULYA,BUGULUMBYA,BUGULUMBYA,KAMULI,2.56753E+12,brian ntanda07@gmail.com
CMP9309671119C,SSEKABEMBE,ARAFAT,UGANDAN,M,1988-02-24,648421817,2026-01-10,TEMUTWEWO MUKASA,MASABA,INDUSTRIAL BOROUGH,INDUSTRIAL BOROUGH,MBALE,2.56727E+12,arafat07@gmail.com
CM64966737E296,SSEMBEJJWE,MARVIN ARTHUR,UGANDAN,M,1989-12-15,661195951,2028-05-22,LUNYERERE,KANYIKE,KAMMENGO,KAMMENGO,MPIGI,2.56728E+12,marvin arthur07@gmail.com
CM87P8026U6E39,SSERUBIRI,FAIZAH,UGANDAN,M,1976-11-28,189182349,2028-08-22,AWALI WANG LOBO,LAMOLA,ODEK,ODEK,OMORO,2.56795E+12,faizah07@gmail.com
CM2E391P067671,TALEMWA,AGNES,UGANDAN,M,2002-06-10,922626485,2025-06-21,BULUZA,KABIRA,NAKIGO,NAKIGO,IGANGA,2.56795E+12,agnes07@gmail.com
CM52516061591E,TAYEBWA,JONH,UGANDAN,F,1982-11-09,500433020,2028-08-08,AJUSIABUDRI,IMVEPI,ODUPI,ODUPI,ARUA,2.56789E+12,jonh07@gfail.cof
CM435BP72F7969,TEBANDEKE,ASHRAF MUSANJE,UGANDAN,M,1975-02-04,726125884,2026-05-16,NYAKAHANGA,MUYEBE,BUHARA,BUHARA,KABALE,2.56783E+12,ashraf musanje07@gmail.com
CM7084E839661P,KYESWA,JOSUA,UGANDAN,M,1998-05-18,919668917,2028-03-13,RUTAGYENGYERA,KITURA,KITURA,KITURA,KIRUHURA,2.56722E+12,josua07@gmail.com
CM9E521705311P,UNKNOWN,REGAN,UGANDAN,M,1974-02-19,28300848,2025-05-05,SENDAWULA,LUNGUJJA,RUBAGA DIVISION,RUBAGA DIVISION,KAMPALA,2.56751E+12,regan07@gmail.com
CM076P0C35E214,UWAYEZU,CLAUDE,UGANDAN,M,1985-11-12,368002181,2027-05-26,IBAMBIRO,KATANGA,BUGAMBE,BUGAMBE,KIKUUBE,2.56763E+12,claude07@gmail.com
CMU16E23973162,WAISWA,ANTHONY,UGANDAN,M,1970-04-22,752774779,2026-11-10,MUSIIMA,WANYANGE,MAFUBIRA,MAFUBIRA,JINJA,2.56706E+12,anthony07@gmail.com
CM66P676754U39,WAISWA,TREVOR MARK,UGANDAN,M,1973-07-03,955605951,2028-12-06,KASAMBIRA CENTRAL,KASAMBIRA,BUGULUMBYA,BUGULUMBYA,KAMULI,2.56774E+12,trevor mark07@gmail.com
CM767E61156801,WASWA,ISAAC,UGANDAN,M,1991-06-19,461338071,2028-04-25,KOLONYI CENTRAL,KOLONYI,NAMABASA,NAMABASA,MBALE,2.56773E+12,isaac07@gmail.com
CMC8P5006E2445,WASWA,JOTHAM,UGANDAN,M,1971-06-07,719424819,2025-03-10,DUKA,NORTH CENTRAL,NORTHERN BOROUGH,NORTHERN BOROUGH,MBALE,2.56772E+12,jotham07@gmail.com
CM15487631595U,WOLIJJA,PROSSY,UGANDAN,F,1978-02-25,581736249,2026-06-04,NAKISENYI  A,BUGONYOKA,BULONGO,BULONGO,LUUKA,2.5677E+12,prossy07@gfail.cof
